Name_Console,Name,Platform,Publisher,Genre,Release_Year,Release_Month,First_Week,Total_Sales,Critic_Score,User_Score
Tales of the World: Radiant Mythology 3 (PSP),Tales of the World: Radiant Mythology 3,PSP,Namco Bandai Games,Role-Playing,2011,2,216050.0,216050.0,N/A,N/A
Tales of the World: Reve Unitia (3DS),Tales of the World: Reve Unitia,3DS,Namco Bandai Games,Role-Playing,2014,10,49436.0,49436.0,N/A,N/A
TalkMan (Japan) (PSP),TalkMan (Japan),PSP,Sony Computer Entertainment,Misc,2005,11,14199.0,14199.0,N/A,N/A
Tamagotchi Connection: Corner Shop (DS),Tamagotchi Connection: Corner Shop,DS,Atari,Simulation,2005,9,131689.0,302697.0,N/A,N/A
Tamagotchi Connection: Corner Shop 2 (DS),Tamagotchi Connection: Corner Shop 2,DS,Namco Bandai Games,Simulation,2006,7,196510.0,468105.0,N/A,N/A
Tamagotchi Connection: Corner Shop 3 (DS),Tamagotchi Connection: Corner Shop 3,DS,Atari,Simulation,2007,9,51509.0,51509.0,N/A,N/A
Tamagotchi no Appare! Niji Venture (DS),Tamagotchi no Appare! Niji Venture,DS,Namco Bandai Games,Role-Playing,2007,3,41983.0,41983.0,N/A,N/A
Tatsunoko vs. Capcom: Ultimate All-Stars (Wii),Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Capcom,Fighting,2010,1,104679.0,141022.0,8.3,N/A
Tearaway Unfolded (PS4),Tearaway Unfolded,PS4,Sony Computer Entertainment,Platform,2015,9,15995.0,15995.0,N/A,N/A
Tears to Tiara: Kakan no Daichi (PS3),Tears to Tiara: Kakan no Daichi,PS3,Aquaplus,Strategy,2008,7,38398.0,38398.0,N/A,N/A
Teenage Mutant Ninja Turtles: Mutants in Manhattan (PS4),Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,Activision,Action,2016,5,41792.0,41792.0,N/A,N/A
Tekken 6 (PS3),Tekken 6,PS3,Namco Bandai Games,Fighting,2009,10,375696.0,913060.0,7.9,N/A
Tekken 6 (X360),Tekken 6,X360,Namco Bandai Games,Fighting,2009,10,152365.0,216891.0,7.8,N/A
Tekken 7 (PS4),Tekken 7,PS4,Namco Bandai Games,Fighting,2017,6,431059.0,756432.0,N/A,N/A
Tekken 7 (XOne),Tekken 7,XOne,Namco Bandai Games,Fighting,2017,6,91255.0,142704.0,N/A,N/A
Tekken Tag Tournament 2 (PS3),Tekken Tag Tournament 2,PS3,Namco Bandai Games,Fighting,2012,9,161498.0,234260.0,N/A,N/A
